customerID,country,region,lang,cpc_index,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_band,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,Contract_enc,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,charge_tier,churn_risk_score,Churn
0002-ORFBO,Egypt,MENA,ar,0.55,Female,0,1,1,9,New (0-12m),1,0,DSL,0,1,0,1,1,0,One year,1,1,Mailed check,65.6,593.3,High,0.5842,0
0003-MKNFE,Argentina,LATAM,es,0.38,Male,0,0,0,9,New (0-12m),1,1,DSL,0,0,0,0,0,1,Month-to-month,0,0,Mailed check,59.9,542.4,Mid,0.7506,0
0004-TLHLJ,Portugal,EU,fr,0.92,Male,0,0,0,4,New (0-12m),1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,0,1,Electronic check,73.9,280.85,High,0.77,1
0011-IGKFF,Venezuela,LATAM,es,0.38,Male,1,1,0,13,Growing (13-36m),1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,0,1,Electronic check,98.0,1237.85,Premium,0.8702,1
0013-EXCHZ,Venezuela,LATAM,es,0.38,Female,1,1,0,3,New (0-12m),1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,0,1,Mailed check,83.9,267.4,High,0.9221,1
0013-MHZWF,Poland,EU,fr,0.92,Female,0,0,1,9,New (0-12m),1,0,DSL,0,0,0,1,1,1,Month-to-month,0,1,Credit card (automatic),69.4,571.45,High,0.7951,0
0013-SMEOE,Australia,NA,en,1.0,Female,1,1,0,71,Champion (60+m),1,0,Fiber optic,1,1,1,1,1,1,Two year,2,1,Bank transfer (automatic),109.7,7904.25,Premium,0.3106,0
0014-BMAQU,Portugal,EU,fr,0.92,Male,0,1,0,63,Champion (60+m),1,1,Fiber optic,1,0,0,1,0,0,Two year,2,1,Credit card (automatic),84.65,5377.8,High,0.2535,0
0015-UOCOJ,Vietnam,APAC,ja,0.61,Female,1,0,0,7,New (0-12m),1,0,DSL,1,0,0,0,0,0,Month-to-month,0,1,Electronic check,48.2,340.35,Mid,0.8236,0
0016-QLJIS,Lebanon,MENA,ar,0.55,Female,0,1,1,65,Champion (60+m),1,1,DSL,1,1,1,1,1,1,Two year,2,1,Mailed check,90.45,5957.9,Premium,0.1317,0
0017-DINOC,Japan,APAC,ja,0.61,Male,0,0,0,54,Loyal (37-60m),0,0,DSL,1,0,0,1,1,0,Two year,2,0,Credit card (automatic),45.2,2460.55,Mid,0.235,0
0017-IUDMW,Kuwait,MENA,ar,0.55,Female,0,1,1,72,Champion (60+m),1,1,Fiber optic,1,1,1,1,1,1,Two year,2,1,Credit card (automatic),116.8,8456.75,Premium,0.1671,0
0018-NYROU,India,APAC,ja,0.61,Female,0,1,0,5,New (0-12m),1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,68.95,351.5,High,0.777,0
0019-EFAEP,Lebanon,MENA,ar,0.55,Female,0,0,0,72,Champion (60+m),1,1,Fiber optic,1,1,1,0,1,0,Two year,2,1,Bank transfer (automatic),101.3,7261.25,Premium,0.1726,0
0019-GFNTW,Kazakhstan,CIS,ru,0.3,Female,0,0,0,56,Loyal (37-60m),0,0,DSL,1,1,1,1,0,0,Two year,2,0,Bank transfer (automatic),45.05,2560.1,Mid,0.1555,0
0020-INWCK,Ukraine,CIS,ru,0.3,Female,0,1,1,71,Champion (60+m),1,1,Fiber optic,0,1,1,0,0,1,Two year,2,1,Credit card (automatic),95.75,6849.4,Premium,0.2106,0
0020-JDNXP,Colombia,LATAM,es,0.38,Female,0,1,1,34,Growing (13-36m),0,0,DSL,1,0,1,1,1,1,One year,1,0,Mailed check,61.25,1993.2,Mid,0.4337,0
0021-IKXGC,Belarus,CIS,ru,0.3,Female,1,0,0,1,New (0-12m),1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,72.1,72.1,High,0.942,0
0022-TCJCI,Canada,NA,en,1.0,Male,1,0,0,45,Loyal (37-60m),1,0,DSL,1,0,1,0,0,1,One year,1,0,Credit card (automatic),62.7,2791.5,Mid,0.4755,1
0023-HGHWL,Colombia,LATAM,es,0.38,Male,1,0,0,1,New (0-12m),0,0,DSL,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,25.1,25.1,Low,0.8894,1
0023-UYUPN,Lebanon,MENA,ar,0.55,Female,1,1,0,50,Loyal (37-60m),1,1,No,0,0,0,0,0,0,One year,1,0,Electronic check,25.2,1306.3,Low,0.373,0
0023-XUOPT,Dominican Republic,LATAM,es,0.38,Female,0,1,0,13,Growing (13-36m),1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,0,Electronic check,94.1,1215.6,Premium,0.7735,1
0027-KWYKW,United Kingdom,EU,fr,0.92,Female,0,1,1,23,Growing (13-36m),1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,0,1,Electronic check,83.75,1849.95,High,0.7378,0
0030-FNXPP,Canada,NA,en,1.0,Female,0,0,0,3,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,19.85,57.2,Low,0.6136,0
0031-PVLZI,Brazil,LATAM,es,0.38,Female,0,1,1,4,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,20.35,76.35,Low,0.6863,1
0032-PGELS,Singapore,APAC,ja,0.61,Female,0,1,1,1,New (0-12m),0,0,DSL,1,0,0,0,0,0,Month-to-month,0,0,Bank transfer (automatic),30.5,30.5,Low,0.6383,1
0036-IHMOT,Spain,EU,fr,0.92,Female,0,1,1,55,Loyal (37-60m),1,0,Fiber optic,0,1,1,1,1,1,One year,1,1,Bank transfer (automatic),103.7,5656.75,Premium,0.4464,0
0040-HALCW,Ghana,Africa,en,0.22,Male,0,1,1,54,Loyal (37-60m),1,0,No,0,0,0,0,0,0,Two year,2,0,Credit card (automatic),20.4,1090.6,Low,0.1866,0
0042-JVWOJ,Germany,EU,fr,0.92,Male,0,0,0,26,Growing (13-36m),1,0,No,0,0,0,0,0,0,One year,1,1,Bank transfer (automatic),19.6,471.85,Low,0.4156,0
0042-RLHYP,France,EU,fr,0.92,Female,0,1,1,69,Champion (60+m),1,0,No,0,0,0,0,0,0,Two year,2,0,Bank transfer (automatic),19.7,1396.9,Low,0.0427,0
0047-ZHDTW,Nigeria,Africa,en,0.22,Female,0,0,0,11,New (0-12m),1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,0,1,Bank transfer (automatic),79.0,929.3,High,0.7922,0
0048-LUMLS,South Korea,APAC,ja,0.61,Male,0,1,1,37,Loyal (37-60m),1,0,Fiber optic,0,0,0,0,1,1,One year,1,0,Credit card (automatic),91.2,3247.55,Premium,0.4825,0
0048-PIHNL,Japan,APAC,ja,0.61,Female,0,1,0,49,Loyal (37-60m),1,0,No,0,0,0,0,0,0,One year,1,0,Bank transfer (automatic),20.45,900.9,Low,0.3126,0
0052-DCKON,Qatar,MENA,ar,0.55,Male,0,1,0,66,Champion (60+m),1,1,Fiber optic,1,1,1,1,1,1,One year,1,0,Bank transfer (automatic),115.8,7942.15,Premium,0.3114,0
0052-YNYOT,Singapore,APAC,ja,0.61,Female,0,0,0,67,Champion (60+m),1,0,No,0,0,0,0,0,0,One year,1,0,Electronic check,20.55,1343.4,Low,0.2247,0
0056-EPFBG,Saudi Arabia,MENA,ar,0.55,Male,0,1,1,20,Growing (13-36m),0,0,DSL,1,0,1,1,0,0,Two year,2,1,Credit card (automatic),39.4,825.4,Mid,0.4154,0
0057-QBUQH,Saudi Arabia,MENA,ar,0.55,Female,0,0,1,43,Loyal (37-60m),1,1,No,0,0,0,0,0,0,Two year,2,1,Electronic check,25.1,1070.15,Low,0.1714,0
